"id";"timestamp";"status"
68297;1656944416;Сделка успешна
73355;1656944516;Проверка информации
73355;1656944516;Проверка информации
73357;1656944572;Сбор информации
72707;1656944628;Истекло время ожидания
73355;1656944644;Заведение заказа в 1С
68131;1656944775;Возврат
72923;1656944834;Истекло время ожидания
68097;1656944884;Сделка успешна
73359;1656944904;Сбор информации
72701;1656944907;Подумает и перезвонит
73359;1656944930;Ожидание
73333;1656944931;Сбор информации
72605;1656944982;Уже купил
73333;1656944983;Проверка товара на складе
72697;1656945074;Уже купил
68039;1656945090;Сделка успешна
67967;1656945185;Сделка успешна
67929;1656945241;Сделка успешна
73357;1656945317;Проверка информации
73357;1656945317;Проверка информации
72759;1656945326;Подумает и перезвонит
72721;1656945338;Сделка успешна
73365;1656945341;Сбор информации
73367;1656945362;Проверка информации
73367;1656945362;Проверка информации
66329;1656945370;Сделка успешна
73355;1656945401;Проверка товара на складе
66287;1656945415;Сделка успешна
72653;1656945454;Нет в ассортименте
73357;1656945483;Заведение заказа в 1С
72647;1656945527;Подумает и перезвонит
73367;1656945544;Заведение заказа в 1С
73357;1656945545;Проверка товара на складе
73365;1656945591;Проверка информации
73365;1656945591;Проверка информации
72953;1656945593;Истекло время ожидания
73359;1656945630;Доставка. Далеко до терминала ТК
65955;1656945660;Сделка успешна
72735;1656945676;Товар не устраивает
73369;1656945734;Сбор информации
65009;1656945746;Сделка успешна
73369;1656945754;Доставка. Товар нужен сегодня
72905;1656945829;Подумает и перезвонит
73373;1656945854;Сбор информации
73365;1656945895;Заведение заказа в 1С
72693;1656945918;Подумает и перезвонит
73365;1656945954;Проверка товара на складе
64727;1656945996;Сделка успешна
73373;1656946070;Ожидание
73377;1656946082;Сбор информации
73377;1656946117;Ожидание
73379;1656946120;Сбор информации
64377;1656946148;Сделка успешна
72583;1656946176;Истекло время ожидания
72739;1656946262;Истекло время ожидания
72881;1656946337;Подумает и перезвонит
64091;1656946398;Сделка успешна
72683;1656946444;Не устраивает цена с бонусами
73367;1656946528;Формирование счета для юр.лица
73367;1656946529;Проверка товара на складе
72151;1656946540;Сделка успешна
72885;1656946550;Подумает и перезвонит
72973;1656946673;Подумает и перезвонит
70469;1656946689;Сделка успешна
71197;1656946690;Сделка успешна
72919;1656946750;Дубль
73379;1656946790;Проверка информации
73379;1656946790;Проверка информации
63989;1656946808;Сделка успешна
63241;1656946901;Сделка успешна
72867;1656946945;Передумал или отложил
73381;1656946997;Сбор информации
72813;1656947027;Уже купил
73381;1656947062;Доставка. Нужны выбор и осмотр
63131;1656947099;Сделка успешна
72743;1656947144;Подумает и перезвонит
73385;1656947176;Сбор информации
63125;1656947224;Сделка успешна
72747;1656947224;Уже купил
73387;1656947226;Сбор информации
73365;1656947235;Согласование нового товара
72821;1656947310;Передумал или отложил
73387;1656947315;Заведение заказа в 1С
73385;1656947357;Проверка информации
